Methods,Citations,Url,Package
DEBIAS-M,"Austin GI et al. <i>Nat Microbiol.</i> 2025.",https://www.nature.com/articles/s41564-025-01954-4,https://korem-lab.github.io/DEBIAS-M/
MetaDICT,"Yuan B, Wang S. <i>Nat Commun.</i> 2025.",https://www.biorxiv.org/content/10.1101/2024.10.04.616752v1,https://github.com/BoYuan07/MetaDICT
PLSDA-batch,"Wang Y, Lê Cao K-A. <i>Brief Bioinform.</i> 2023;24(2):bbac622.",https://doi.org/10.1093/bib/bbac622,https://github.com/EvaYiwenWang/PLSDAbatch
ConQuR,"Ling W et al. <i>Nat Commun.</i> 2022;13:5418.",https://www.nature.com/articles/s41467-022-33071-9,https://github.com/wdl2459/ConQuR
MMUPHin,"Ma S et al. <i>Genome Biol.</i> 2022;23:208.",https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02753-4,https://bioconductor.org/packages/devel/bioc/html/MMUPHin.html
RUV-III-NB,"Salim A et al. <i>Nucleic Acids Res.</i> 2022;50(16):e96.",https://academic.oup.com/nar/article/50/16/e96/6618546,https://github.com/limfuxing/ruvIIInb
ComBat-seq,"Zhang Y, Parmigiani G, Johnson WE. <i>NAR Genom Bioinform.</i> 2020;2(3):lqaa078.",https://academic.oup.com/nargab/article/2/3/lqaa078/5909519,https://rdrr.io/bioc/sva/man/ComBat.html
FSQN,"Franks JM, Cai G, Whitfield ML. <i>Bioinformatics.</i> 2018;34(11):1868-1874.",https://academic.oup.com/bioinformatics/article/34/11/1868/4816109,https://github.com/jenniferfranks/FSQN
FAbatch,"Hornung R, Boulesteix A-L, Causeur D. <i>BMC Bioinformatics.</i> 2016;17:27.",https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-015-0870-z#citeas,https://www.rdocumentation.org/packages/bapred/versions/1.1/topics/fabatch
Limma,"Ritchie ME et al. <i>Nucleic Acids Res.</i> 2015;43(7):e47.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4402510/,https://bioconductor.org/packages/release/bioc/html/limma.html
BMC,"Sims AH et al. <i>BMC Med Genomics.</i> 2008;1:42.",https://www.bioconductor.org/packages//2.7/bioc/html/pamr.html,https://www.bioconductor.org/packages//2.7/bioc/html/pamr.html
ComBat,"Johnson WE, Li C, Rabinovic A. <i>Biostatistics.</i> 2007;8(1):118-127.",https://academic.oup.com/nargab/article/2/3/lqaa078/5909519,https://rdrr.io/bioc/sva/man/ComBat.html
