batch_id,number_of_days,phenotype
A,16,0
A,16,0
A,16,0
A,48,0
A,16,1
A,26,1
A,61,1
A,16,1
A,16,1
B,5,0
B,40,0
B,5,0
B,40,0
B,5,1
B,40,1
B,48,1
B,69,1
B,69,1
B,96,1
B,16,1
B,69,1
B,96,1
B,16,1
B,69,1
B,96,1
C,0,0
C,5,0
C,16,0
C,40,0
C,5,0
C,16,0
C,40,0
C,40,0
C,0,1
C,5,1
C,40,1
C,111,1
C,5,1
C,40,1
C,82,1
C,111,1
C,5,1
C,40,1
C,111,1
C,5,1
C,40,1
D,5,0
D,16,0
D,40,0
D,5,0
D,54,0
D,16,0
D,40,0
D,54,0
D,40,1
D,54,1
D,96,1
D,26,1
D,40,1
D,54,1
D,69,1
D,82,1
D,82,1
E,40,0
E,40,0
E,40,1
E,48,1
E,69,1
E,69,1
E,69,1
E,96,1
E,69,1
E,96,1
E,69,1
E,96,1
