batch,phenotype,sample
Batch 1,0,1
Batch 2,0,2
Batch 2,0,3
Batch 1,0,4
Batch 1,0,5
Batch 1,0,6
Batch 2,0,7
Batch 2,0,8
Batch 3,1,9
Batch 2,1,10
Batch 3,1,11
Batch 2,1,12
Batch 3,1,13
Batch 2,1,14
Batch 3,1,15
Batch 3,1,16
Batch 2,1,17
Batch 4,1,18
Batch 3,1,19
Batch 4,1,20
Batch 2,1,21
Batch 4,1,22
Batch 2,1,23
Batch 3,1,24
Batch 2,1,25
Batch 2,1,26
Batch 3,1,27
Batch 4,1,28
Batch 4,1,29
Batch 2,1,30
Batch 4,1,31
Batch 4,1,32
Batch 4,1,33
Batch 3,1,34
Batch 4,1,35
Batch 2,1,36
Batch 2,1,37
Batch 2,1,38
Batch 2,1,39
Batch 4,1,40
Batch 3,1,41
Batch 3,1,42
Batch 3,1,43
Batch 2,1,44
Batch 3,1,45
Batch 4,1,46
Batch 3,1,47
Batch 3,1,48
Batch 5,0,49
Batch 5,0,50
Batch 3,0,51
Batch 3,0,52
Batch 3,0,53
Batch 3,0,54
Batch 5,0,55
Batch 5,0,56
Batch 5,0,57
